who,overlap,years,color
AfricaRice,Non-CGIAR,29,#333333
AfricaRice,IWMI,1,#333333
AfricaRice,AfricaRice,3,#333333
AfricaRice,IITA,3,#333333
AfricaRice,ICRISAT,1,#333333
AfricaRice,IRRI,6,#333333
AfricaRice,CIAT,1,#333333
AfricaRice,ISPC,1,#333333
Bioversity International,CIP,1,#333333
Bioversity International,Non-CGIAR,9,#333333
Bioversity International,IITA,3,#333333
Bioversity International,CIFOR,1,#333333
Bioversity International,WorldFish,1,#333333
Bioversity International,IFPRI,1,#333333
Bioversity International,CIAT,1,#333333
Bioversity International,ICRAF,2,#333333
Bioversity International,Bioversity International,1,#333333
CCAFS,Non-CGIAR,10,#333333
CCAFS,ILRI,1,#333333
CCAFS,CIAT,4,#333333
CGIAR,Non-CGIAR,1,#333333
CIAT,Non-CGIAR,66,#333333
CIAT,CIMMYT,4,#333333
CIAT,IRRI,5,#333333
CIAT,CCAFS,4,#333333
CIAT,ICRISAT,2,#333333
CIAT,IFPRI,3,#333333
CIAT,SLP,1,#333333
CIAT,ILRI,3,#333333
CIAT,IITA,3,#333333
CIAT,ICARDA,1,#333333
CIAT,CIAT,3,#333333
CIAT,Bioversity International,1,#333333
CIAT,AfricaRice,1,#333333
CIAT,ICRAF,1,#333333
CIAT,CIP,1,#333333
CIFOR,Non-CGIAR,56,#333333
CIFOR,CIFOR,7,#333333
CIFOR,CIP,1,#333333
CIFOR,ICARDA,1,#333333
CIFOR,WorldFish,1,#333333
CIFOR,Bioversity International,1,#333333
CIFOR,ICRAF,5,#333333
CIMMYT,Non-CGIAR,146,#333333
CIMMYT,CIAT,4,#333333
CIMMYT,IRRI,8,#333333
CIMMYT,IITA,3,#333333
CIMMYT,CIMMYT,15,#333333
CIMMYT,ICARDA,9,#333333
CIMMYT,IFPRI,2,#333333
CIMMYT,SLP,1,#333333
CIMMYT,ICRISAT,3,#333333
CIMMYT,ILRI,2,#333333
CIMMYT,CIP,1,#333333
CIMMYT,IWMI,1,#333333
CIP,Bioversity International,1,#333333
CIP,Non-CGIAR,32,#333333
CIP,IITA,1,#333333
CIP,CIP,5,#333333
CIP,CIFOR,1,#333333
CIP,CIMMYT,1,#333333
