who,overlap,years,color
AfricaRice,AfricaRice,5,#333333
AfricaRice,Non-CGIAR,9,#333333
AfricaRice,ICRISAT,1,#333333
AfricaRice,CIMMYT,1,#333333
AfricaRice,CIP,1,#333333
AfricaRice,CIAT,1,#333333
Bioversity International,Non-CGIAR,15,#333333
Bioversity International,CIMMYT,2,#333333
Bioversity International,IRRI,2,#333333
Bioversity International,ICARDA,1,#333333
Bioversity International,IITA,1,#333333
CIAT,Non-CGIAR,34,#333333
CIAT,CIAT,4,#333333
CIAT,ICRAF,4,#333333
CIAT,AfricaRice,1,#333333
CIAT,IFPRI,1,#333333
CIFOR,Non-CGIAR,17,#333333
CIFOR,CIFOR,4,#333333
CIFOR,ICRAF,2,#333333
CIFOR,ICARDA,1,#333333
CIMMYT,Non-CGIAR,100,#333333
CIMMYT,IFPRI,1,#333333
CIMMYT,CIMMYT,3,#333333
CIMMYT,Bioversity International,2,#333333
CIMMYT,IWMI,1,#333333
CIMMYT,ICARDA,4,#333333
CIMMYT,CIP,2,#333333
CIMMYT,IRRI,3,#333333
CIMMYT,IITA,2,#333333
CIMMYT,ICRISAT,1,#333333
CIMMYT,AfricaRice,1,#333333
CIP,Non-CGIAR,28,#333333
CIP,CIP,4,#333333
CIP,CIMMYT,2,#333333
CIP,AfricaRice,1,#333333
CIP,IRRI,1,#333333
CPWF,WorldFish,1,#333333
HarvestPlus,HarvestPlus,1,#333333
HarvestPlus,Non-CGIAR,2,#333333
ICARDA,ICARDA,5,#333333
ICARDA,Non-CGIAR,25,#333333
ICARDA,CIMMYT,4,#333333
ICARDA,Bioversity International,1,#333333
ICARDA,IWMI,1,#333333
ICARDA,ICRAF,1,#333333
ICARDA,CIFOR,1,#333333
ICRAF,ICRAF,10,#333333
ICRAF,Non-CGIAR,41,#333333
ICRAF,IITA,1,#333333
ICRAF,ILRI,2,#333333
ICRAF,CIAT,4,#333333
ICRAF,CIFOR,2,#333333
ICRAF,ICRISAT,1,#333333
ICRAF,ICARDA,1,#333333
ICRAF,IFPRI,1,#333333
ICRISAT,Non-CGIAR,7,#333333
ICRISAT,IITA,1,#333333
ICRISAT,CIMMYT,1,#333333
ICRISAT,AfricaRice,1,#333333
ICRISAT,ICRAF,1,#333333
IFPRI,CIMMYT,1,#333333
IFPRI,Non-CGIAR,30,#333333
IFPRI,IFPRI,15,#333333
IFPRI,ICRAF,1,#333333
IFPRI,CIAT,1,#333333
IITA,Non-CGIAR,34,#333333
IITA,ICRISAT,1,#333333
IITA,IITA,9,#333333
IITA,ICRAF,1,#333333
IITA,CIMMYT,2,#333333
IITA,ILRI,1,#333333
IITA,Bioversity International,1,#333333
ILRI,Non-CGIAR,51,#333333
ILRI,ILRI,4,#333333
ILRI,ICRAF,2,#333333
ILRI,IITA,1,#333333
IRRI,Non-CGIAR,92,#333333
IRRI,IRRI,11,#333333
IRRI,CIMMYT,3,#333333
IRRI,WorldFish,1,#333333
IRRI,Bioversity International,2,#333333
IRRI,CIP,1,#333333
IWMI,Non-CGIAR,30,#333333
IWMI,CIMMYT,1,#333333
IWMI,IWMI,9,#333333
IWMI,ICARDA,1,#333333
Non-CGIAR,IWMI,30,#333333
Non-CGIAR,CIP,28,#333333
Non-CGIAR,IRRI,92,#333333
Non-CGIAR,ILRI,51,#333333
Non-CGIAR,CIMMYT,100,#333333
Non-CGIAR,CIAT,34,#333333
Non-CGIAR,IFPRI,30,#333333
Non-CGIAR,IITA,34,#333333
Non-CGIAR,Bioversity International,15,#333333
Non-CGIAR,ICRISAT,7,#333333
Non-CGIAR,ICRAF,41,#333333
Non-CGIAR,CIFOR,17,#333333
Non-CGIAR,WorldFish,17,#333333
Non-CGIAR,ICARDA,25,#333333
Non-CGIAR,AfricaRice,9,#333333
Non-CGIAR,HarvestPlus,2,#333333
WorldFish,WorldFish,8,#333333
WorldFish,CPWF,1,#333333
WorldFish,Non-CGIAR,17,#333333
WorldFish,IRRI,1,#333333
