country,color
Western Sahara,#fdb462
Yemen,#b3de69
Zambia,#fccde5
Zimbabwe,#d9d9d9
�land Islands,#bc80bd
Zaire,#ccebc5
Wales,#ffed6f
Yugoslavia,#8dd3c7
USA,#ccebc5
U Arab Emirates,#bebada
Trinid & Tobago,#fb8072
St Kitts & Nevi,#80b1d3
Scotland,#fdb462
Russia,#b3de69
Rep Of Georgia,#fccde5
Rep Congo,#d9d9d9
Peoples R C,#bc80bd
Papua N Guinea,#ccebc5
North Ireland,#ffed6f
Netherlands,#8dd3c7
Nairobi 30709,#ffffb3
Mongol Peo Rep,#bebada
Micronesia,#fb8072
Laos,#80b1d3
Israil,#fdb462
Fr Polynesia,#b3de69
Equat Guinea,#fccde5
England,#d9d9d9
Dem Rep Congo,#bc80bd
Cote Ivoire,#ccebc5
Cent Afr Republ,#ffed6f
Byelarus,#8dd3c7
B-1200 Brussels,#ffffb3
