who,overlap,years,color
AfricaRice,Non-CGIAR,18,#333333
AfricaRice,AfricaRice,5,#333333
AfricaRice,IWMI,2,#333333
AfricaRice,IITA,1,#333333
Bioversity International,CIMMYT,1,#333333
Bioversity International,IRRI,1,#333333
Bioversity International,Non-CGIAR,5,#333333
Bioversity International,ILRI,1,#333333
Bioversity International,IITA,1,#333333
Bioversity International,ICRAF,1,#333333
CCAFS,Non-CGIAR,7,#333333
CCAFS,CIFOR,1,#333333
CCAFS,ICRAF,1,#333333
CCAFS,CIAT,1,#333333
CIAT,CIMMYT,5,#333333
CIAT,Non-CGIAR,55,#333333
CIAT,ILRI,1,#333333
CIAT,IITA,1,#333333
CIAT,CIAT,4,#333333
CIAT,CIP,1,#333333
CIAT,ICRAF,1,#333333
CIAT,CIFOR,1,#333333
CIAT,ICRISAT,1,#333333
CIAT,CCAFS,1,#333333
CIFOR,Non-CGIAR,31,#333333
CIFOR,ICRAF,2,#333333
CIFOR,CIAT,1,#333333
CIFOR,CCAFS,1,#333333
CIFOR,IITA,1,#333333
CIFOR,CIFOR,2,#333333
CIMMYT,Non-CGIAR,122,#333333
CIMMYT,CIAT,5,#333333
CIMMYT,Bioversity International,1,#333333
CIMMYT,IRRI,4,#333333
CIMMYT,ICARDA,8,#333333
CIMMYT,ILRI,1,#333333
CIMMYT,IITA,3,#333333
CIMMYT,CIMMYT,12,#333333
CIMMYT,ICRISAT,8,#333333
CIP,Non-CGIAR,27,#333333
CIP,ICRISAT,1,#333333
CIP,ICRAF,2,#333333
CIP,ICARDA,1,#333333
CIP,IWMI,1,#333333
CIP,CIP,6,#333333
CIP,CIAT,1,#333333
CIP,IRRI,1,#333333
HarvestPlus,Non-CGIAR,2,#333333
ICARDA,ICARDA,3,#333333
ICARDA,Non-CGIAR,52,#333333
ICARDA,CIMMYT,8,#333333
ICARDA,IWMI,6,#333333
ICARDA,ICRISAT,2,#333333
ICARDA,ILRI,5,#333333
ICARDA,ICRAF,1,#333333
ICARDA,CIP,1,#333333
ICRAF,Non-CGIAR,24,#333333
ICRAF,CIFOR,2,#333333
ICRAF,ICRAF,2,#333333
ICRAF,ICRISAT,1,#333333
ICRAF,ICARDA,1,#333333
ICRAF,CIP,2,#333333
ICRAF,IWMI,1,#333333
ICRAF,CIAT,1,#333333
ICRAF,CCAFS,1,#333333
ICRAF,Bioversity International,1,#333333
ICRISAT,CIMMYT,8,#333333
ICRISAT,Non-CGIAR,20,#333333
ICRISAT,ILRI,4,#333333
ICRISAT,ICARDA,2,#333333
ICRISAT,ICRAF,1,#333333
ICRISAT,CIP,1,#333333
ICRISAT,IWMI,3,#333333
ICRISAT,ICRISAT,1,#333333
ICRISAT,IRRI,1,#333333
ICRISAT,CIAT,1,#333333
IFPRI,Non-CGIAR,63,#333333
IFPRI,IFPRI,13,#333333
IFPRI,ILRI,1,#333333
IITA,Non-CGIAR,40,#333333
IITA,ILRI,2,#333333
IITA,CIMMYT,3,#333333
IITA,CIAT,1,#333333
IITA,AfricaRice,1,#333333
IITA,IITA,2,#333333
IITA,Bioversity International,1,#333333
IITA,CIFOR,1,#333333
ILRI,Non-CGIAR,62,#333333
ILRI,IITA,2,#333333
ILRI,CIMMYT,1,#333333
ILRI,CIAT,1,#333333
ILRI,ICRISAT,4,#333333
ILRI,ICARDA,5,#333333
ILRI,Bioversity International,1,#333333
ILRI,ILRI,3,#333333
ILRI,IFPRI,1,#333333
IRRI,Non-CGIAR,96,#333333
IRRI,CIMMYT,4,#333333
IRRI,Bioversity International,1,#333333
IRRI,IRRI,10,#333333
IRRI,IWMI,1,#333333
IRRI,ICRISAT,1,#333333
IRRI,CIP,1,#333333
ISPC,ISPC,1,#333333
IWMI,Non-CGIAR,65,#333333
IWMI,IWMI,10,#333333
IWMI,ICARDA,6,#333333
IWMI,ICRISAT,3,#333333
IWMI,ICRAF,1,#333333
IWMI,CIP,1,#333333
IWMI,AfricaRice,2,#333333
IWMI,IRRI,1,#333333
Non-CGIAR,IRRI,96,#333333
Non-CGIAR,IWMI,65,#333333
Non-CGIAR,CIP,27,#333333
Non-CGIAR,ILRI,62,#333333
Non-CGIAR,CIMMYT,122,#333333
Non-CGIAR,Bioversity International,5,#333333
Non-CGIAR,WorldFish,26,#333333
Non-CGIAR,CIFOR,31,#333333
Non-CGIAR,ICRAF,24,#333333
Non-CGIAR,ICARDA,52,#333333
Non-CGIAR,IITA,40,#333333
Non-CGIAR,CIAT,55,#333333
Non-CGIAR,IFPRI,63,#333333
Non-CGIAR,AfricaRice,18,#333333
Non-CGIAR,ICRISAT,20,#333333
Non-CGIAR,CCAFS,7,#333333
Non-CGIAR,HarvestPlus,2,#333333
WorldFish,Non-CGIAR,26,#333333
WorldFish,WorldFish,4,#333333
